Census year,Block ID,Property ID,Base property ID,Building name,Street address,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers,x coordinate,y coordinate,Location
2019,2514,615836,615836,,10 McCracken Street KENSINGTON VIC 3031,Kensington,1900.0,,1.0,House/Townhouse,,,,,,144.9275,-37.7901,POINT (144.9275207 -37.79005628)
2019,370,592684,592684,,25A Arden Street NORTH MELBOURNE 3051,North Melbourne,,,3.0,House/Townhouse,,,,,,144.951,-37.8013,POINT (144.9510171 -37.80131347)
2019,2527,615229,615229,,17-19 Mulgrave Street KENSINGTON VIC 3031,Kensington,1965.0,,1.0,House/Townhouse,,,,,,144.931,-37.7905,POINT (144.9310471 -37.79052523)
2019,2520,616720,616720,,84 McCracken Street KENSINGTON VIC 3031,Kensington,1900.0,,1.0,House/Townhouse,,,,,,144.9275,-37.7936,POINT (144.9274861 -37.79363734)
2019,2504,618031,618031,,17 Bendall Street KENSINGTON VIC 3031,Kensington,1989.0,,2.0,House/Townhouse,,,,,,144.9243,-37.7893,POINT (144.9243163 -37.78928614)
2019,351,588813,588813,,243-247 Errol Street NORTH MELBOURNE 3051,North Melbourne,,,1.0,House/Townhouse,,,,,,144.9501,-37.7984,POINT (144.9501146 -37.798369)
2019,861,591502,591502,,80W Toorak Road SOUTH YARRA VIC 3141,South Yarra,,,2.0,House/Townhouse,,,,,,144.9808,-37.8374,POINT (144.9808136 -37.83736805)
2019,2544,615427,615427,,16-20 Thompson Street KENSINGTON VIC 3031,Kensington,1910.0,,1.0,House/Townhouse,,,,,,144.9344,-37.7926,POINT (144.9343867 -37.79262165)
2019,2522,616903,616903,,81 McConnell Street KENSINGTON VIC 3031,Kensington,1900.0,,1.0,House/Townhouse,,,,,,144.9291,-37.7927,POINT (144.9291354 -37.79268012)
2019,2519,614835,614835,,53-55 McConnell Street KENSINGTON VIC 3031,Kensington,1915.0,,1.0,House/Townhouse,,,,,,144.929,-37.7917,POINT (144.9289908 -37.79166888)
2019,2512,617836,617836,,2 Watsons Walk KENSINGTON VIC 3031,Kensington,1989.0,,2.0,House/Townhouse,,,,,,144.925,-37.7909,POINT (144.9249958 -37.79089693)
2019,2510,618101,618101,,21 Youlden Street KENSINGTON VIC 3031,Kensington,1991.0,,2.0,House/Townhouse,,,,,,144.9258,-37.7893,POINT (144.9258314 -37.78931255)
2019,2503,618009,618009,,36 Little Bendall Street KENSINGTON VIC 3031,Kensington,1997.0,,2.0,House/Townhouse,,,,,,144.9235,-37.7894,POINT (144.9234602 -37.78937158)
2019,2535,615096,615096,,16-18 Barnett Street KENSINGTON VIC 3031,Kensington,1900.0,,1.0,House/Townhouse,,,,,,144.9323,-37.7906,POINT (144.9323152 -37.79063978)
2019,223,103086,103086,,109 Elgin Street CARLTON 3053,Carlton,1870.0,,2.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,0.0,,144.971,-37.7978,POINT (144.9710324 -37.79781055)
2019,207,101666,101666,,316 Cardigan Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9663,-37.7974,POINT (144.9662825 -37.79742385)
2019,601,100382,100382,Josephine terrace,38 Albert Street EAST MELBOURNE 3002,East Melbourne,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,0.0,,144.9899,-37.8108,POINT (144.9899293 -37.81076637)
2019,2390,617432,617432,,296-304 Macaulay Road NORTH MELBOURNE 3051,North Melbourne,1996.0,,2.0,Wholesale,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9365,-37.7948,POINT (144.9364514 -37.79483833)
2019,773,627709,627709,,8 Stokehold Mews DOCKLANDS 3008,Docklands,2011.0,,3.0,House/Townhouse,,,,,,144.9374,-37.8227,POINT (144.9374218 -37.82269878)
2019,1105,605909,605909,Lantern,705-715 Collins Street DOCKLANDS 3008,Docklands,1889.0,2012.0,9.0,Office,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0.0,70.0,,144.9511,-37.8209,POINT (144.9511384 -37.82088296)
2019,255,101596,101596,,103 Cardigan Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9645,-37.8042,POINT (144.9645274 -37.80424079)
2019,226,101426,101426,,145-147 Canning Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Low level of accessibility,All entrances have steps,1.0,,,144.97299999999998,-37.7954,POINT (144.9730177 -37.79536877)
2019,56,101205,101205,NSW Chambers,190-192 Bourke Street MELBOURNE 3000,Melbourne (CBD),1931.0,2000.0,7.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9675,-37.8127,POINT (144.9675399 -37.81271937)
2019,252,100560,100560,,1-5 Argyle Place East CARLTON 3053,Carlton,1971.0,2013.0,4.0,Residential Apartment,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,0.0,,144.9671,-37.8037,POINT (144.9671054 -37.80367222)
2019,609,104998,104998,,72 Hotham Street EAST MELBOURNE 3002,East Melbourne,,,4.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.988,-37.8141,POINT (144.9880104 -37.81414997)
2019,223,106287,106287,,6-10 MacArthur Place North CARLTON 3053,Carlton,1880.0,,2.0,House/Townhouse,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9724,-37.7981,POINT (144.9724214 -37.79807814)
2019,252,111062,106250,120 Lygon Street,120 Lygon Street CARLTON 3053,Carlton,1890.0,,2.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9667,-37.8044,POINT (144.9667019 -37.80443771)
2019,246,106102,106102,,171 Lygon Street CARLTON 3053,Carlton,1900.0,,2.0,Entertainment/Recreation - Indoor,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,0.0,,144.9665,-37.8017,POINT (144.9664684 -37.80165741)
2019,264,644814,644814,,156-172 Victoria Street CARLTON 3053,Carlton,2014.0,,23.0,Unoccupied - Under Construction,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,0.0,,144.9619,-37.8061,POINT (144.9619402 -37.80614542)
2019,228,109674,109674,,25 Victoria Place CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9726,-37.7932,POINT (144.972617 -37.79319182)
2019,1108,678341,678341,,8-0 Buckley Walk DOCKLANDS 3008,Docklands,2017.0,,4.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,0.0,,144.9451,-37.82,POINT (144.9451125 -37.82003014)
2019,301,575770,575770,,46 Little Curran Street NORTH MELBOURNE 3051,North Melbourne,,,3.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9438,-37.7916,POINT (144.9438267 -37.79164469)
2019,772,110530,110530,,85-93 Lorimer Street DOCKLANDS 3008,Docklands,1970.0,,2.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9415,-37.8245,POINT (144.9414558 -37.82447858)
2019,236,101507,101507,,24 Canning Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9729,-37.7995,POINT (144.9728526 -37.79952607)
2019,1012,100556,100556,,229-235 Arden Street NORTH MELBOURNE 3051,North Melbourne,2007.0,,2.0,Storage,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9393,-37.8004,POINT (144.9392856 -37.80037382)
2019,36,102148,102148,Athenaeum Library and Theatre,184-192 Collins Street MELBOURNE 3000,Melbourne (CBD),1885.0,1991.0,4.0,"Performances, Conferences, Ceremonies",High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9673,-37.8149,POINT (144.9672767 -37.81485244)
