SA3_NAME_2016,change
Ballarat,Ballarat
Banyule,Banyule
Barwon - West,X
Baw Baw,Baw Baw
Bayside,Bayside
Bendigo,Greater Bendigo
Boroondara,Boroondara
Brimbank,Brimbank
Brunswick - Coburg,X
Campaspe,Campaspe
Campbelltown (NSW),X
Cardinia,Cardinia
Casey - North,Casey
Casey - South,Casey
Colac - Corangamite,Colac-Otway
Creswick - Daylesford - Ballan,X
Dandenong,Greater Dandenong
Darebin - North,Darebin
Darebin - South,Darebin
Essendon,X
Frankston,Frankston
Geelong,Greater Geelong
Gippsland - East,East Gippsland
Gippsland - South West,South Gippsland
Glen Eira,Glen Eira
Glenelg - Southern Grampians,Glenelg
Grampians,Grampians
Heathcote - Castlemaine - Kyneton,X
Hobsons Bay,Hobsons Bay
Ipswich Hinterland,X
Keilor,X
Kingston,Kingston
Knox,Knox
Latrobe Valley,Latrobe
Loddon - Elmore,Loddon
Lower Hunter,X
Macedon Ranges,Macedon Ranges
Manningham - East,Manningham
Manningham - West,Manningham
Maribyrnong,Maribyrnong
Maroondah,Maroondah
Maryborough - Pyrenees,X
Melbourne City,Melbourne
Melton - Bacchus Marsh,Melton
Mildura,Mildura
Moira,Moira
Monash,Monash
Moreland - North,Moreland
Mornington Peninsula,Mornington Peninsula
Murray River - Swan Hill,Swan Hill
Nillumbik - Kinglake,X
Onkaparinga,X
Port Phillip,X
Shepparton,Greater Shepparton
South Coast,X
Southern Highlands,X
Stonnington - East,Stonnington
Stonnington - West,Stonnington
Sunbury,X
Surf Coast - Bellarine Peninsula,X
Tullamarine - Broadmeadows,X
Upper Goulburn Valley,X
Wangaratta - Benalla,Wangaratta
Warrnambool,Warrnambool
Wellington,Wellington
Whitehorse - East,Whitehorse
Whitehorse - West,Whitehorse
Whittlesea - Wallan,Whittlesea
Wodonga - Alpine,Alpine
Wyndham,Wyndham
Yarra,Yarra
Yarra Ranges,Yarra Ranges
